freq,citizen,agedef,age,unit,sex,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,AT,REACH,Y20-24,NR,T,BG	6 	3 	7 	8 
A,AT,REACH,Y20-24,NR,T,CZ	4 	5 	0 	7 
A,AT,REACH,Y20-24,NR,T,DE	1167 e	1160 e	1126 e	983 e
A,AT,REACH,Y20-24,NR,T,DK	54 	: 	: 	: 
A,AT,REACH,Y20-24,NR,T,EE	: 	: 	6 	9 
A,AT,REACH,Y20-24,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y20-24,NR,T,FI	10 	6 	5 	6 
A,AT,REACH,Y20-24,NR,T,HR	20 	22 	14 	13 
A,AT,REACH,Y20-24,NR,T,IT	13 	16 	23 	21 
A,AT,REACH,Y20-24,NR,T,LT	3 	: 	0 	: @N
A,AT,REACH,Y20-24,NR,T,LU	9 	13 	11 	4 
A,AT,REACH,Y20-24,NR,T,LV	1 	0 	0 	1 
A,AT,REACH,Y20-24,NR,T,NL	210 	196 	187 	164 
A,AT,REACH,Y20-24,NR,T,SE	51 	67 	58 	73 
A,AT,REACH,Y20-24,NR,T,SK	2 	3 	0 	2 
A,AT,REACH,Y25-29,NR,T,BE	: 	: 	77 	62 
A,AT,REACH,Y25-29,NR,T,BG	4 	14 	7 	11 
A,AT,REACH,Y25-29,NR,T,CZ	11 	9 	10 	11 
A,AT,REACH,Y25-29,NR,T,DE	1141 e	1222 e	1221 e	1137 e
A,AT,REACH,Y25-29,NR,T,DK	33 	: 	: 	: 
A,AT,REACH,Y25-29,NR,T,EE	: 	: 	7 	6 
A,AT,REACH,Y25-29,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y25-29,NR,T,FI	14 	10 	7 	11 
A,AT,REACH,Y25-29,NR,T,HR	8 	24 	13 	18 
A,AT,REACH,Y25-29,NR,T,IT	40 	51 	55 	43 
A,AT,REACH,Y25-29,NR,T,LT	0 	: 	: 	0 
A,AT,REACH,Y25-29,NR,T,LU	18 	15 	21 	14 
A,AT,REACH,Y25-29,NR,T,LV	2 	3 	0 	1 
A,AT,REACH,Y25-29,NR,T,NL	114 	128 	106 	101 
A,AT,REACH,Y25-29,NR,T,SE	55 	65 	65 	59 
A,AT,REACH,Y25-29,NR,T,SK	2 	4 	3 	2 
A,AT,REACH,Y30-34,NR,T,BE	: 	: 	53 	36 
A,AT,REACH,Y30-34,NR,T,BG	10 	18 	11 	10 
A,AT,REACH,Y30-34,NR,T,CZ	11 	6 	8 	6 
A,AT,REACH,Y30-34,NR,T,DE	739 e	843 e	819 e	741 e
A,AT,REACH,Y30-34,NR,T,DK	14 	: 	: 	: 
A,AT,REACH,Y30-34,NR,T,EE	: 	: 	1 	1 
A,AT,REACH,Y30-34,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y30-34,NR,T,FI	10 	6 	11 	5 
A,AT,REACH,Y30-34,NR,T,HR	14 	17 	11 	15 
A,AT,REACH,Y30-34,NR,T,IT	35 	43 	47 	47 
A,AT,REACH,Y30-34,NR,T,LT	2 	0 	: 	: @N
A,AT,REACH,Y30-34,NR,T,LU	3 	10 	8 	7 
A,AT,REACH,Y30-34,NR,T,LV	2 	0 	0 	0 
A,AT,REACH,Y30-34,NR,T,NL	65 	55 	63 	50 
A,AT,REACH,Y30-34,NR,T,SE	30 	38 	39 	30 
A,AT,REACH,Y30-34,NR,T,SK	0 	3 	2 	3 
A,AT,REACH,Y35-39,NR,T,BE	: 	: 	21 	26 
A,AT,REACH,Y35-39,NR,T,BG	11 	18 	10 	12 
A,AT,REACH,Y35-39,NR,T,CZ	13 	7 	8 	15 
A,AT,REACH,Y35-39,NR,T,DE	459 e	447 e	542 e	493 e
A,AT,REACH,Y35-39,NR,T,DK	13 	: 	: 	: 
A,AT,REACH,Y35-39,NR,T,EE	: 	: 	1 	2 
A,AT,REACH,Y35-39,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y35-39,NR,T,FI	10 	3 	3 	2 
A,AT,REACH,Y35-39,NR,T,HR	12 	6 	13 	15 
A,AT,REACH,Y35-39,NR,T,IT	30 	37 	50 	41 
A,AT,REACH,Y35-39,NR,T,LT	0 	0 	0 	0 
A,AT,REACH,Y35-39,NR,T,LU	9 	5 	3 	9 
A,AT,REACH,Y35-39,NR,T,LV	0 	0 	0 	0 
A,AT,REACH,Y35-39,NR,T,NL	36 	30 	33 	30 
A,AT,REACH,Y35-39,NR,T,SE	16 	31 	13 	25 
A,AT,REACH,Y35-39,NR,T,SK	6 	4 	0 	4 
A,AT,REACH,Y40-44,NR,T,BE	: 	: 	12 	17 
A,AT,REACH,Y40-44,NR,T,BG	17 	12 	11 	14 
A,AT,REACH,Y40-44,NR,T,CZ	6 	8 	10 	7 
A,AT,REACH,Y40-44,NR,T,DE	283 e	344 e	309 e	349 e
A,AT,REACH,Y40-44,NR,T,DK	3 	: 	: 	: 
A,AT,REACH,Y40-44,NR,T,EE	: 	: 	0 	2 
A,AT,REACH,Y40-44,NR,T,ES	: b@N	: 	: 	: @N
A,AT,REACH,Y40-44,NR,T,FI	4 	6 	4 	1 
A,AT,REACH,Y40-44,NR,T,HR	21 	13 	18 	17 
A,AT,REACH,Y40-44,NR,T,IT	27 	31 	34 	44 
A,AT,REACH,Y40-44,NR,T,LT	0 	0 	: 	0 
A,AT,REACH,Y40-44,NR,T,LU	7 	7 	5 	6 
A,AT,REACH,Y40-44,NR,T,LV	1 	0 	0 	0 
A,AT,REACH,Y40-44,NR,T,NL	17 	22 	20 	17 
A,AT,REACH,Y40-44,NR,T,SE	12 	16 	13 	13 
A,AT,REACH,Y40-44,NR,T,SK	4 	1 	2 	4 
A,AT,REACH,Y45-49,NR,T,BE	: 	: 	20 	5 
A,AT,REACH,Y45-49,NR,T,BG	25 	23 	11 	17 
A,AT,REACH,Y45-49,NR,T,CZ	12 	9 	9 	5 
